,Unnamed: 0,Nid,ISBN,description,Title,Author,Lib Note,What is the story about?/What happened in the story?,Who is your favorite character in the story? Why?,Why did you decide to read this book? Did a friend suggest it? Did it have an interesting cover?,Why did you like this story? or Why did you not like this story?,Other thoughts or feelings about this story? Anything else to add?,Rate Your Read,Reviews Titles,Your Age,UserID,emotion_emoData
70,70,91983,9780545504928,"Laugh out loud with Captain Underpants, the #1 New York Times bestselling series from Dav Pilkey, the creator of Dog Man! George and Harold, and their doubles, Yesterday George and Yesterday Harold, have a good thing going. Two of them go to school, while the other two hide in the tree house and play video games all day -- then they switch! But it turns out there's something rotten in the state of Ohio, and it's smellier than a pile of putrid gym socks. The boys' malicious gym teacher, Mr. Meaner, has created a method of mind control that transforms their fellow students into attentive, obedient, perfect children. Now the future of all humanity is in George and Harold and Yesterday George and Yesterday Harold's hands!",Captain Underpants and the Sensational Saga of Sir Stinks-a-Lot,Dav Pilkey,,"Captain Underpants defeated Sir Stinks-a-Lot, who made something that made kids do everything an adult said. ","Captain Underpants. He's silly and says ""tra-la-la."" He flys in his underwear.",Captain Underpants is famous and funny.  I heard about the movie too.,I liked it because Captain Underpants is funny. The book has lots of funny things to read.,I will be reading more Captain Underpants books. ,5/5,Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot: The Twelfth Epic Novel,7.0,63.0,
71,71,91982,9780140386202,"Rumors abound regarding the Suspension Room, otherwise known as ""the
Dungeon,"" where misbehaving students are sent, and Harry is unable to
believe anything he hears until he finds out for himself. Reprint.",Horrible Harry and The Dungeon,Suzy Kline,Find more books in the Horrible Harry series in the Juvenile First Chapter Books Section at the call number J Kline.,"If you did something wrong at the end of the year at Harry's school you could be sent to the sensor room. When Harry went to the sensor room he peeked into the bag of a man who wanted to be the new computer teacher. Something in the bag poked Harry. Harry thought the man had a weapon. When Doug went to get Harry from the sensor room, he looked in the bag too. It wasn't a weapon in the bag. It was a pineapple. ",Song Lee.  I like her personality.,I liked other Horrible Harry books I read.,I like it because Horrible Harry books have something new and fun to read.,I want to read more Horrible Harry books!,4/5,Horrible Harry and the Dungeon,7.0,63.0,
72,72,91950,9780375957123,"In a distant kingdom a growing darkness falls over the land. One is called to defend . . . to bring hope . . . to slay the Mighty Dragon. . . . Could it be . . . Babymouse? Find out when Babymouse leads her fellow Mathletes in the quest of a lifetime, a death-defying fight to win back both her school’s honor and the coveted GOLDEN SLIDE RULE. Our brave young hero must face not just the evil Owlgorithms but also her own personal dragon—MATH. Destined for glory, for greatness, for bookstores and libraries everywhere . . . this is the epic adventure fans have been waiting for!",Babymouse: Dragonslayer,Jennifer L. Holm & Mathew Holm,,"In this story Baby Mouse got a F-Minus on a math test, and she could get her grades back up if she went into the Math Club. Then in the final round of the Math competition, both competitors got hurt. One person got picked from each team for the final. It was Baby Mouse and somebody else. Somehow Baby Mouse won, and they restored the Golden Slide Rule.","My favorite character is Tiny because he had a dorsal fin injury in football, so then he went into the Math Club, and he is ""Backbone of the Team.""",I decided to read this book because a friend suggested one Baby Mouse book to me and then I started reading the whole series.,I liked this story because the Fighting Fractions (Baby Mouse's Math team) were probably going to lose but they won.,,5/5,Babymouse: Dragonslayer,7.0,64.0,
73,73,91947,545540615,"Catrina and her family are moving to the coast of Northern California because her little sister, Maya, is sick. Cat isn't happy about leaving her friends for Bahía de la Luna, but Maya has cystic fibrosis and will benefit from the cool, salty air that blows in from the sea. As the girls explore their new home, a neighbor lets them in on a secret: There are ghosts in Bahía de la Luna. Maya is determined to meet one, but Cat wants nothing to do with them. As the time of year when ghosts reunite with their loved ones approaches, Cat must figure out how to put aside her fears for her sister's sake - and her own.",Ghosts ,Raina Telgeemeier,,Maya's family had to move. Cat got selfish because her and Maya had almost always shared so she wanted to have some friends of her own. ,Maya is my favorite character because she has a free spirit like me. We both also make people feel joyful when they are sad.,My friend suggested that I read this book because I love Smile and Drama so much. ,I liked this story because Cat acts sort of like my sister and I act like Maya so this is almost like my life. It makes me feel like I'm not the only on that get afraid of goes through tough times.,I personally think that every kid should read this book because this book is so realistic. It's almost. It's almost like MY life so it might be like other kids lives.,4/5,Ghosts,10.0,65.0,
74,74,91848,9780399246265,"Known for his strong arm, 13-year-old football fanatic Nate Brodie feels
confident that he could win the million-dollar prize as an invited guest at
an NFL contest, but when pressures at home mount, Nate looks to his best
friend Abby, who teaches him what true courage is all about.",Million-Dollar Throw,Mike Lupica,,The story is about a kid named Nate Brodie and he is a quarterback ho spent over $500 in a sports store and he enter a completion that said if you spend over $500 you could get your name pulled and get a chance to through a ball to a target and win cool things. He won it and used the prize for his friend friendAbby because she was going blind.,Nate is my favorite person in the story. He is because he is like a hero in some ways.,I decided to pick this book because I love reading about sports. I've always loved sports and reading about it. A friend did not tell me about this book. I was really just looking through all his series and I found this one and it looked interesting. The cover is cool because it was the kid in Gillette Stadium.,I liked because it was about sports and I like sports and a great book.,I LOVED THIS BOOK. IT WAS AWESOME.,0/5,Million-Dollar Throw,12.0,66.0,
75,75,91847,9781627791151,"Just after twelve-year-old Emily and her family move to San Francisco, she
teams up with new friend James to follow clues in an odd book they find,
hoping to figure out its secrets before the men who attacked Emily's hero,
publisher Garrison Griswold, solve the mystery or come after the friends.",Book Scavenger,Jennifer Chamblis Bertman,,"The book is about a girl named Emily, who's family has a goal to live in all 50 states, so they move about every year. The book takes place when they live in San Francisco. Emily is a devoted Book Scavenger fan, a game created by famous book enthusiast, Garrison Griswold. He is just about to come out with a book treasure hunt, and Emily and her friend and brother try to solve it. but before it comes out, Griswold is shot, and he is on the verge of dying. Will he survive?","I Like Emily's brother, Matthew. He has a change of heart at the end of the story.","I chose to read this book because it was one of my teacher's picks at this year's book fair. I knew it was new and it had an interesting cover. Also, since the title was ""Book Scavenger"", I wondered if it was more of a game than a fiction novel, and that made me interested to read it.",It had a good plot.,No.,5/5,Book Scavenger,11.0,31.0,
76,76,91845,9780525423843,"In the small city of Strattenburg there are many lawyers, and thirteen-
year-old Theo Boone thinks he is one of them, but his inside knowledge of
the justice system means trouble when a cold-blooded killer is about to go
free and only Theo can stop him.",Theodore Boone: Kid Lawyer,John Grisham,,This story is about a kid in middle school who's parents are lawyers. He knows everything about court and wants to either be a judge or lawyer when he grows up. He has some important information on a murder case that could decide if Pete Duffy walks free or not. ,Theodore Boone is because he is brave and will do whatever it takes to get justice.,I read this book because at Barnes and Noble the person who was helping me suggested it to me. I read the first chapter and liked it so I just kept on reading.,I liked this story because it is filled with twists and turns and is a exciting adventure.,Theodore Boone is the greatest book series I have ever read.,5/5,Theodore Boone: Kid Lawyer,11.0,67.0,
77,77,91844,9780439139601,"In Harry Potter and the Goblet of Fire, Harry is midway through both his
training as a wizard and his coming of age. He wants to get away from the
malicious Dursleys and go to the Quidditch World Cup with Hermione, Ron,
and the Weasleys. He wants to dream about his crush, Cho Chang (and maybe
do more than dream). And now that he’s gotten the hang of things at
Hogwarts—he hopes—he just wants to be a normal fourteen-year-old wizard.
But even by his standards, Harry's year is anything but normal. First
Dumbledore announces the revival of a grand competition that hasn't taken
place for one hundred years: the Triwizard Tournament, where a Hogwarts
champion will compete against rivals from two other schools of magic in
three highly dangerous tasks. Then someone frames Harry to participate in
the tournament—which really means someone wants him dead. Harry is guided
through the competition by Professor Alastor Moody, this year's Defense
Against the Dark Arts teacher, but he must also contend with a nasty
reporter named Rita Skeeter, who digs up some highly unflattering secrets
about Hagrid; a terrible fight with Ron, who is deeply jealous of Harry's
fame; Hermione's newfound activism on behalf of house-elves; and the
terrifying prospect of asking a date to the Yule Ball. Worst of all, Lord
Voldemort may finally have gathered the materials necessary for his
rejuvenation... and he has a faithful servant at Hogwarts waiting only for
a sign. No, nothing is ever normal for Harry Potter. And in his case,
different can be deadly.",Harry Potter and the Goblet of Fire ,J.K. Rowling,,The story was about a boy named Harry Potter that is a wizard and goes to school named Hogwarts. He gets entered into a game he is not suppose to be in and gets into some trouble.,,My parents suggested it. When I read the back and saw the cover I was interested in it so I read it.  ,,,5/5,Harry Potter and the Goblet of Fire,11.0,32.0,
78,78,91843,9780060283124,"Make no mistake. The Bad Beginning begins badly for the three Baudelaire children, and then gets worse. Their misfortunes begin one gray day on Briny Beach when Mr. Poe tells them that their parents perished in a fire that destroyed their whole house. ""It is useless for me to describe to you how terrible Violet, Klaus, and even Sunny felt in the time that followed,"" laments the personable (occasionally pedantic) narrator, who tells the story as if his readers are gathered around an armchair on pillows. But of course what follows is dreadful. The children thought it was bad when the well-meaning Poes bought them grotesque-colored clothing that itched. But when they are ushered to the dilapidated doorstep of the miserable, thin, unshaven, shiny-eyed, money-grubbing Count Olaf, they know that they--and their family fortune--are in real trouble. Still, they could never have anticipated how much trouble. While it's true that the events that unfold in Lemony Snicket's novels are bleak, and things never turn out as you'd hope, these delightful, funny, linguistically playful books are reminiscent of Roald Dahl (remember James and the Giant Peach and his horrid spinster aunts), Charles Dickens (the orphaned Pip in Great Expectations without the mysterious benefactor), and Edward Gorey (The Gashlycrumb Tinies). There is no question that young readers will want to read the continuing unlucky adventures of the Baudelaire children in The Reptile Room and The Wide Window.",The Bad Beginning ,Lemony Snicket ,"This is the first book in Lemony Snicket's ""Series of Unfortunate Events"".",The Baudelaire children were put in a hard situation. There parents were killed in a fire at there very large home. then they were sent to go live with count Olaf.,Sunny is my favorite character because she says stuff that's funny.,"My friend Malakai suggested it to me when I was trying to find a book for fun. I started reading it at the start of 2017 and I'm already on book five, it is also a quick read.",easy read,,5/5,The Bad Beginning,11.0,68.0,
79,79,91842,9780316297790,"This brand-new series by a popular screenwriter is a pitch-perfect, contemporary comedy featuring twelve-year-old fraternal twins, Claudia and Reese, who couldn't be more different... except in their determination to come out on top in a vicious prank war! But when the competition escalates into an all-out battle that's fought from the cafeteria of their New York City private school all the way to the fictional universe of an online video game, the twins have to decide if their efforts to destroy each other are worth the price. Told as a colorful ""oral history"" by the twins and their friends, and including photos, screenshots, chat logs, online gaming digital art, and text messages between their clueless parents, The Tapper Twins is a hilariously authentic showcase of what it's like to be in middle school in our digitally-saturated world.",The Tapper Twins Go to War (With Each Other),Geoff Rodkey,,This story is about two twins (Claudia & Reese Tapper) who get in a HUGE fight because someone took the other's toaster tart. The attack events started off small but got bigger and bigger! Claudia put a dead fish in Reese's backpack and left it there for days! If you want to find out the other things that happen... READ THE BOOK!,"Claudia is my favorite because she is funny and she is the ""author"" of the book.","I decided to read this because it seemed funny. It ended up being a very good book and it actually makes you feel emotions. A friend did not suggest it but when I started reading it, a couple friends pointed out that they had read it before. The cover is pretty interesting, though I can't really explain it.",I liked this story because it was very funny. I laughed here and there.,It was a great book and you should read it.,5/5,The Tapper Twins Go to War (With Each Other),11.0,35.0,
80,80,91841,9780590353403,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with
a great destiny proves his worth while attending Hogwarts School for
Witchcraft and Wizardry.",Harry Potter and the Sorcerer's Stone,J.K. Rowling,,"This book is about a little boy named Harry Potter, who lives with his Aunt and Uncle because his parents are dead. Harry turns eleven and everything changes for him. He gets a letter from Hogwarts School of Witchcraft and Wizardry School. When he attends he has to go through many adventures and he meets his two closet friends on the train to Hogwarts, Ron and Hermione. Ron and Hermione help Harry get through his first year at Hogwarts.","My favorite character is Hermione Granger because she is smart, kind, bossy, and a loyal friend.", My sister and brother had already read Harry Potter and recommended Harry Potter. I wasn't wanting to read it because it was witchcraft and I didn't want to read a book with magic in it. I finally started reading and woah........ I could not put it down! It was so actioned packed and so interesting!,I loved this book because it was so actioned packed and amazing and I couldn't put it down., it was amazing.,5/5,Harry Potter and the Sorcerer's Stone,11.0,69.0,
81,81,91840,9780312374624,"When homeschooled farm girl Piper McCloud reveals her ability to fly, she
is quickly taken to a secret government facility to be trained with other
exceptional children, but she soon realizes that something is very wrong
and begins working with brilliantand wealthy Conrad to escape.",The Girl Who Could Fly,Victoria Forester,,It was about a girl who had the power to fly and their was a ''school'' that tried to take away her ''super power'' but disguised as a school.,My favorite character was The girl who could fly because she was adventurous.,I chose this book because it had a interesting cover.,I liked the story because it was mysterious.,,4/5,The Girl Who Could Fly,11.0,70.0,
82,82,91839,9780142418215,"Each of five children lucky enough to discover an entry ticket into Mr.
Willy Wonka's mysterious chocolate factory takes advantage of the situation
in his own way.",Charlie and the Chocolate Factory,Roald Dahl,,It's about a boy named Charlie who has a big poor family. One day he found something very pleasing to him and his family. It is a life changing experience. ,"Charlie is my favorite character because he is kind, loving, and thankful. He has nice manners too.",My class read it together.,I liked this story because it is very different from other stories. ,I think you should read this book.,4/5,Charlie and the Chocolate Factory,11.0,26.0,
83,83,91838,441644511,"New York Times bestselling author Robin McKinley's vivid retelling of the classic story of Robin Hood breathes contemporary life into these beloved adventures, with Marian taking a pivotal role as one of Robin's best archers.",The Outlaws of Sherwood ,Robin McKinley,"This book is a re-telling of the adventures of Robin Hood and his band of outlaws, find it at the call number J 398.208 Robin Hood Mck.",it is a retelling of robin hood. there are some differences but its pretty close. robin of the hood kills a man and becomes an outlaw. he and his friends form a rebellion against the sheriff.,my favorite character was Much. he is practical and funny. he is always cracking jokes. I might even compare him to Fred and George from harry potter.,"I enjoyed watching robin hood, the movie and when the time came to pick a book for a report I saw this and decided to read it. I had just finished reading beauty, another book written by the same author.",I liked this story because I enjoy forest settings and battles. it is intense and encouraging. ,,5/5,The Outlaws of Sherwood,11.0,71.0,
84,84,91837,9780756990619,"This is the magical story of Cara, a girl sent on a mission by her grandmother to the land of the unicorns. Only Cara can protect the unicorns and their world from invasion. Repackaged to tie in with the hardcover edition of The Unicorn Chronicles #2: Song of the Wanderer.",Into the Land of the Unicorns ,Bruce Coville,,"A girl named Cara is brought to Luster, the land of unicorns. She had to solve a mystery about her father, a hunter of the unicorns and also an ancient woman named Beloved who detests the unicorns and blames them for killing her father.  ","My favorite character is Lightfoot, the unicorn because is fun, kind and helpful.","A friend suggested the first book of the series and it sounded good. It had mystery and some suspense especially the 2nd, 3rd, and 4th books. My favorite book is the 3rd or the 4th (The Last Hunt).","I loved the story! It was full of suspense, mystery, and mysterious magic as well. I recommend the Unicorn Chronicles as a series.",The later books are a little frightening in some parts. I started reading the series in fourth grade and it probably wouldn't be good for younger kids.,5/5,Into the Land of the Unicorns,11.0,72.0,
85,85,91836,9780061986741,"Set in the Blue Ridge Mountains, A Dog's Way Home is an unforgettable tale
of the many miles, months, and mountains that divide two loyal friends—but
that can't possibly keep them apart. Abby knows that Tam, her Shetland
sheepdog, is her north star, and she's pretty certain she's his, too. But
when an accident separates Abby and Tam, it feels as though all the stars
have fallen out of the sky and nothing will ever be right again. As the
days between them turn to weeks, then months, dangers and changes fill up
Abby's and Tam's lives. Will they ever find their way home to each other?
Daddy says, ""Most folks got a north star in their life—something that gives
their life extra meaning. Mine is music."" Without even thinking, I say,
""Mine is Tam.""",A Dog's Way Home,Bobbie Pyron,,"Abby got separated from her dog Tam in a car accident. Tam was a smart dog and he ventured through mountains, forests, and snowy weather to find his beloved owner. Abby is heartbroken when no one finds Tam, not at shelters or in the wild. ",My favorite character is Tam because he stays brave and he does all he can to find his owner. He is very intelligent and a very clever and smart dog.,I read the back and it looked very interesting. I started reading it and the action happened really fast and not one part of the book was boring. This is the book that made me want to read more. I never liked to read until I read this book.,I LOVED this story because the plot is interesting and it always keeps you on the edge of your seat. I love adventure books and this was the PERFECT book for me and anyone who likes adventure books about dogs.,It's the BEST BOOK EVER!!!!!!!,5/5,A Dog's Way Home,11.0,34.0,
86,86,91835,9781250043238,"In her first novel since winning the Newbery Medal, Katherine Applegate
delivers an unforgettable and magical story about family, friendship, and
resilience. Jackson and his family have fallen on hard times. There's no
more money for rent. And not much for food, either. His parents, his little
sister, and their dog may have to live in their minivan. Again. Crenshaw is
a cat. He's large, he's outspoken, and he's imaginary. He has come back
into Jackson's life to help him. But is an imaginary friend enough to save
this family from losing everything? Beloved author Katherine Applegate
proves in unexpected ways that friends matter, whether real or imaginary.",Crenshaw,Katherine Applegate ,,"It is about Jackson's imaginary friend that was a huge cat, that did some pretty funny things.",My favorite character is Crenshaw.,I saw this book at my school's book fair. It instantly caught my eye. The cover of it was pretty and purple with a kid and a black cat. I read the back of it and it sounded amazing. I told my dad that I wanted it and he said yes. I read it and it had me hooked.,I loved this story because it was different and it immediately got me hooked to it and I couldn't put it down.,I would say that anyone would love this book. Also Jackson's parents lived in an apartment. And ran out of money and had to live in there minivan which was pretty crazy.,5/5,Crenshaw,11.0,36.0,
87,87,91834,9781250043238,"In her first novel since winning the Newbery Medal, Katherine Applegate
delivers an unforgettable and magical story about family, friendship, and
resilience. Jackson and his family have fallen on hard times. There's no
more money for rent. And not much for food, either. His parents, his little
sister, and their dog may have to live in their minivan. Again. Crenshaw is
a cat. He's large, he's outspoken, and he's imaginary. He has come back
into Jackson's life to help him. But is an imaginary friend enough to save
this family from losing everything? Beloved author Katherine Applegate
proves in unexpected ways that friends matter, whether real or imaginary.",Crenshaw,Katherine Applegate,,Its about a boy who has a imaginary friend but his can affect more than just his mood.,Crenshaw because has the main character and without him the story would be less interesting.,I got Crenshaw because I needed a new book and Crenshaw was available so I got it.,I liked it a bit and it kept me entertained until I finished it.,It was a good book it is original which is good. ,3/5,Crenshaw,11.0,73.0,
88,88,91833,9780842321938,"Four former Christian teenagers find themselves alone and afraid following
the Rapture when God spirits His followers away to Heaven.",The Vanishings,Jerry B. Jenkins and Tim LaHaye,"""The Vanishings"" is the first book in the ""Left behind: The Kids"" series which you can find shelved in the Young Adult section at the Call Number ""Y Jenkins"".",This story is about what it would be like if Christ came back and left the non believers and took the believers. These four kids start out not believing but their parents try to persuade them to become believers but they were left behind to face the world by themselves.,,My friend josh  suggested it this year and I'm on the fifth book already.,,,5/5,The Vanishings,12.0,74.0,
89,89,91830,9780312368593,"With Meg Murry's help, the dragons her six-year-old brother saw in the
vegetable garden play an important part in his struggle between life and
death. Simultaneous.",A Wind in the Door,Madeleine L'Engle,"""A Wind in the Door"" is the second book in Madeleine L'Engle's Time Quintet series. ",Its about this little boy who sees dragons and he gets sick and very pale. So Meg and Calvin try to get some help.,Meg because she is so brave and she cares a lot about he little brother,I  picked it because I liked the first book a lot and I wanted to read the second one. No they didn't. Yes it was interesting cover.,I Liked it cause it it was adventurous and fun it was so awesome.,No I thought it was perfect. ,5/5,A Wind in the Door,11.0,75.0,
90,90,91829,316807222,"Jeffrey Lionel ""Maniac"" Magee might have lived a normal life if a freak accident hadn't made him an orphan. After living with his unhappy and uptight aunt and uncle for eight years, he decides to run--and not just run away, but run. This is where the myth of Maniac Magee begins, as he changes the lives of a racially divided small town with his amazing and legendary feats.",Maniac Magee,jerry spinelli,,the book is about a boy who is homeless.,mars bar because he makes me laugh.,I read it because we read it as a class in our school.,I didn't like it because there wasn't much action.,it had some interesting parts it just wasn't action packed.,3/5,Maniac Magee,11.0,76.0,
91,91,91828,9780763642020,"Bestselling author Kessler and Philippa Fisher are back with a sympathetic
story about navigating between old friends and new, a tale full of mystery,
whimsy, and the magic of friendships.",Philippa Fisher and the Dream-Maker's Daughter,Liz Kessler,,"the story is about a girl who's name is Filippa and she has a best friend named Daisy . Daisy is a fairy, and Daisy and Filippa never get to see each other.But when they do get to see each other they go on magixal adventures with each other.",Daisy because she keeps her friends out of trouble and is a fairy.,I decided to read this book because it is magical with fairies and I had already read the first one.,,,5/5,Philippa Fisher and the Dream-Maker's Daughter,10.0,77.0,
92,92,91826,9781478927389,"From the #1 New York Times bestselling author of Middle School, the Worst Years of My Life and I Funny comes a brilliantly original new adventure series, jam-packed with action, humor, and heart!The Kidd siblings have grown up diving down to shipwrecks and traveling the world, helping their famous parents recover everything from swords to gold doubloons from the bottom of the ocean. But after their parents disappear n the job, the kids are suddenly thrust into the biggest treasure hunt of their lives. They'll have to work together to defeat dangerous pirates and dodge the hot pursuit of an evil treasure hunting rival, all while following cryptic clues to unravel the mystery of what really happened to their parents--and find out if they're still alive.",Treasure Hunters,James Patterson,,The story is about four children who lost there family. They found an artifact that helped them find there parents. And they were also running from pirates.,,"I decided to read this book because it was long and it was interesting and I always wanted to read this book, and in the end the book was amazing. I suggested it. The book had an interesting cover.",,,5/5,Treasure Hunters,10.0,78.0,
93,93,91825,9780395510605,"During the German occupation of Denmark, Annemarie helps shelter a Jewish
friend from the Nazis.",Number the Stars,Lois Lowry,,The story was about the holocost and about the Natizes wanting to kill the Jews.,My favorite character in the book was Ellen. I liked Ellen because she was very brave and was not scared of the Natizes.,I read this book in class with my friends.,I liked this story because it was a interesting story but it made me cry.,Everybody shoud read it.,5/5,Number the Stars,10.0,79.0,
94,94,91824,9780689859366,"When the Grace children go to stay at their Great Aunt Lucinda's worn
Victorian house, they discover a field guide to fairies and other creatures
and begin to have some unusual experiences.",The Field Guide,Tony DiTerlizzi and Holly Black,"""The Field Guide"" is the first book in the Spiderwick Chronicles series by Holly Black and Tony DiTerlizzi.",the second book is about jarred's brother simon is taken by goblins,Mallory because she is a girl,I started reading it and I love it. It is awesome.,I love this story because it is my type of book,no,5/5,The Field Guide,10.0,80.0,
95,95,91823,9780786808014,"Twelve-year-old Artemis Fowl is a millionaire, a genius—and, above all, a criminal mastermind. But even Artemis doesn’t know what he’s taken on when he kidnaps a fairy, Captain Holly Short of the LEPrecon Unit. These aren’t the fairies of bedtime stories; these fairies are armed and dangerous. Artemis thinks he has them right where he wants them…but then they stop playing by the rules.",Artemis Fowl,Eoin Colfer,,It is about a teenage rich boy named Artemis Fowl and he is a kid genius. In the story he kidnaps a leprechaun named Holly Short because he wants more money. He has a butler/friend named Butler(Butler is not his real name.)He has a sister named Juliet who likes to fight.,Butler because... I just like him.,My friend Tanner got it and let me have it to read.,I loved this story because it is sort of futuristic and sort of medival.,,5/5,Artemis Fowl,10.0,81.0,
96,96,91821,60871229,"From the author of the nationally bestselling Warriors books comes a brand-new animal fantasy series. Three young bears from different species—black, polar, and grizzly—are separated from their families when they are just young cubs. They find themselves brought together on a perilous journey. Fate is about to change all these bears lives forever, setting their paws on a path toward a future they cannot yet imagine.",The Quest Begins ,Erin Hunter,This is the first book in Erin Hunter's Seekers series. ,The story is about three bears that get separated from their families while they are very young. After they get separated they have to survive on their own with no mother to guide them.,My favorite character was Taqqiq. He was a grizzly bear who's mother left him by himself because she didn't want to see her second litter of cubs die because her brother died.,I found this book so I could do it for a book report.,I loved this story because of the bear's survival.,It was a very long story but other than that I loved it!,5/5,The Quest Begins,10.0,82.0,
97,97,91820,1250043239,"In her first novel since winning the Newbery Medal, Katherine Applegate
delivers an unforgettable and magical story about family, friendship, and
resilience. Jackson and his family have fallen on hard times. There's no
more money for rent. And not much for food, either. His parents, his little
sister, and their dog may have to live in their minivan. Again. Crenshaw is
a cat. He's large, he's outspoken, and he's imaginary. He has come back
into Jackson's life to help him. But is an imaginary friend enough to save
this family from losing everything? Beloved author Katherine Applegate
proves in unexpected ways that friends matter, whether real or imaginary.",Crenshaw,Katherine Applegate,,It is about a imaginary cat who is Jacksons best friend. Jackson had the imaginary cat since he was in 1st grade.,"My favorite character is Crenshaw because he helps Jackson with problems.
",I read because it had a interesting cover. A friend did not suggest it to me I chose it on my own.,I liked this story because it was about doing things even though you don't want to do it.,My thoughts were sad because he had to leave his home and go on a journey.,5/5,Crenshaw,10.0,83.0,
98,98,91819,1101934859,"Over 2 million people have read the #1 New York Times bestseller Wonder and
have fallen in love with Auggie Pullman, an ordinary boy with an
extraordinary face. Readers have also been treated to three stories
offering a special look at Auggie's world through new points of view.
Previously only available in ebook, now they'll be published all together--
complete with an introduction from the author on how she came to write them
--in a gorgeous hardcover package! These stories are an extra peek at
Auggie before he started at Beecher Prep and during his first year there.
Readers get to see him through the eyes of Julian, the bully; Christopher,
Auggie's oldest friend; and Charlotte, Auggie's new friend at school.
Together, these three stories are a treasure for readers who don't want to
leave Auggie behind when they finish Wonder.",Auggie & Me : three Wonder stories,R. J. Palacio,,It is about three people who know a little boy Auggie who has face problems.,I liked Charlote becuase she is just like me.,I thought it looked very interesting and looked very cool.,I thought it was wonderful and inspiering.,I thought it was just great.,5/5,Auggie & Me: Three Wonder Stories,10.0,84.0,
99,99,91817,439064864,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike. And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possible be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself!",Harry Potter And The Chamber of Secrets,J.K. Rowling,,"Harry, Hermione, and Ron go to a Boarding school called Hogwarts. Its a school for wizards and whiches. Harry's classmates are being petrified by a monster and Harry needs to stop it.",Harry because he is the main character.,I chose to read this book because my mom told me I should read the series.,I like it because its a fantasy book.,,5/5,Harry Potter and the Chamber of Secrets,10.0,85.0,
100,100,91818,9780062420398,"This movie novelization of the soon-to-be major motion picture tells the
story of a canine hero. When Justin's older brother, Kyle, is killed in
Afghanistan, Justin can't believe that his brother is really gone. Except
there's one thing that Kyle left behind… Max is a highly trained military
canine who has always protected his fellow soldiers. But when he loses his
handler and best friend, Kyle, Max is traumatized and unable to remain in
the service. He is sent home to America, where the only human he connects
with is Justin, and he is soon adopted by Kyle's family, essentially saving
his life. At first Justin has no interest in taking care of his late
brother's troubled dog. However, the two learn to trust each other, which
helps the four-legged veteran become his heroic self once more. As the pair
start to unravel the mystery of what really happened to Kyle, they find
more excitement—and danger—than they bargained for. But they might also
find an unlikely new best friend—in each other.",Max: Best Friend. Hero. Marine.,Jennifer Li Shotz,,"The story is about a dog who is accused of killing his owner who was a marine. Right before he was going to be put down, the marine's brother came in to save him.",My favorite character is max because he is loyal and protective to his owner.,I decided to read this book when I was in Walmart while my mom was shopping for food. I saw a book with a dog on the cover so I picked that one.,,,5/5,Max: Best Friend. Hero. Marine.,10.0,86.0,
101,101,91816,9780062560414,"Hero, a retired search-and-rescue dog, is not prepared for a stray puppy to come into his life. But when he and twelve-year-old Ben find Scout injured and afraid, the new addition leads them down an unexpected and dangerous path. When Scout goes missing, it's up to Hero to use his search-and-rescue skills to find Scout and bring him home. Get ready for a canine adventure full of danger, loyalty, and the unbreakable bond between a boy and his best friend.",Hero,Jennifer Li Shotz,,The story is about a dog named hero and a boy named ben.,Hero because he saves anyone who is in danger.,I chose this book because I like dog books. A friend didn't suggest. yes it did have a interesting cover.,I liked this story because the found a dog named scout in a barn and he kept him.,my feelings were sad and happy ,5/5,Hero,9.0,87.0,
102,102,91815,440403278,"Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are ""relocated,"" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a dangerous mission to save Ellen's life.",Number The Stars,Lois Lowery,,there was a girl and she was going throw hard times and her friends family are Jews and she needs to help her it was interesting.,Annemarie because she was brave and loyal to her best  friend,I was reading it in class and it had an interesting cover,I liked this story because it was happy than it was sad it was like sad.,no,5/5,Number the Stars,10.0,88.0,
